Region,Country,Does GBS Care currently support Country,Is the location a HUB,Currently supported by HUB,HUB Name,Language(s) used,English Speaking CARE?,Cluster Leader,Operation Hours,Number of Agents,Phone,IVR?,Care General Email,"Country Validation
Is the Care Phone / IVR and Email correct?","Care Dedicated  
 InSight Phone #",Is InSight Number Correct ?,"If No, Correct Number to use ","Care Dedicated
InSight Email","InSight #
Phone Validated Date","Care Team
Email Validated Date","InSight Rollout?
(P) PENDING
P|Y|N","InSight ACTIVE Customers?
Y|N",Number of Active Customers INSIGHT,"enVision Rollout 
(P) PENDING
P|Y|N","enVision ACTIVE Customers 
P|Y|N",Number of Active Customers ENVISION,"Care Dedicated
 enVision Phone #","Care Dedicated
enVision Email","Care
enVision
Coverage",CBK enVision email,"enVision
Onboarding Priority"
ESA,Belgium,Yes,No,Yes,Cluj,"Dutch
French
English",Yes,Leah Fyfe,M - F 8am - 5pm,,+32 2 712 2020,No,cis@ironmountain.nl,Yes,,,,,,,Y,,,N,,,,,,,
ESA,Bulgaria,Yes,No,Yes,Cluj,Bulgarian,No,Elena Paraskeva,M - F 08.00 am - 16.30 pm local time,1,+359 (2) 832 11 00,No,supportbg@irmbulgaria.com,Yes,,,,,,,P,,,Y,Y,,we can reuse the # if it exists,2 weeks ETA,depends on budget,supportbg@ironmountain.com,
ESA,Croatia,Yes,No,Yes,Cluj,Croatian,No,Elena Paraskeva,M - F 08:00 am - 16:00 pm local time,3,+385 1 6177 777,No,podrska@ironmountain.com,Yes,,,,,,,P,,,Y,Y,,we can reuse the # if it exists,2 weeks ETA,depends on budget,podrska@ironmountain.com,
ESA,Cyprus,Yes,No,Yes,Cluj,Greek,No,Elena Paraskeva,M - F 07:30 am - 17:30 pm local time,4,+357 7777 8666,Yes,info.cy@ironmountain.com,Yes,,,,,,,Y,,,Y,Y,,we can reuse the # if it exists,2 weeks ETA,depends on budget,,
ESA,Czech_Republic,Yes,No,Yes,Cluj,Czech,No,Elena Paraskeva,M - F 08:00 am - 17:00 pm local time,3,+420 233 900 638,Yes,prague@emea.ironmountain.com,Yes,,,,,,,N,,,Y,Y,,we can reuse the # if it exists,2 weeks ETA,depends on budget,prague@emea.ironmountain.com,
ESA,Denmark,Yes,No,Yes,Cluj,Dannish,No,Magdalena Madalinska,"M - T 8am - 4pm local time
F 8am - 3.30pm",3,+45 70 21 77 00,No,kundeservice@ironmountain.com,Yes,+45 70 21 77 00,Y,,InSight.Support@ironmountain.com,TBD,n/a,Y,,,N,,,,,,,
ESA,Estonia,Yes,No,Yes,Cluj,Estonian,No,Elena Paraskeva,M - F 08.30 -  5pm,1,+372 603 4050,No,info.ee@ironmountain.com,Yes,,,,,,,N,,,N,,,,,,,
ESA,Finland,Yes,No,Yes,Cluj,Finnish,No,Magdalena Madalinska,M - F 8am - 4pm local time,,35 89 825 60 214,No,arkisto@ironmountain.com,Yes,35 89 825 60 214,Y,,InSight.Support@ironmountain.com,TBD,n/a,Y,,,N,,,,,,,
ESA,France,Yes,No,Yes,Cluj,French,No,Leah Fyfe,M - F 09:00 am to 5:30 pm (7:30 am to 5:30 pm for DM orders),23,0800 215 218,No,customer.services@ironmountain.fr,Yes,33169748910,,,InSight.Support@ironmountain.com,,n/a,Y,,,P,P,,we can reuse the # if it exists,2 weeks ETA,depends on budget,,
ESA,Germany/Austria,Yes,No,Yes,Cluj,German,No,Magdalena Madalinska,M - F 8am - 5pm local time,1,0800 408 0000,No,"order@ironmountain.de
contact@ironmountain.de",Yes,0800 408 0000,Y,,InSight.Support@ironmountain.com,,n/a,Y,,,Y,P,,we can reuse the # if it exists,2 weeks ETA,depends on budget,,
